company_name,high,low,last_price,prev_close,change,percent_gain
UltraTechCement,"11,566.05","11,465.60","11,559.40","11,544.85",14.55,0.13
ICICI Lombard ,"1,855.55","1,826.65","1,843.65","1,841.50",2.15,0.12
LIC Housing Fin,579.95,570.05,575.30,574.60,0.70,0.12
Emami,576.15,570.55,573.35,572.70,0.65,0.11
Tech Mahindra,"1,690.90","1,671.00","1,683.00","1,681.15",1.85,0.11
L&T Technology,"5,369.65","5,299.55","5,346.40","5,341.00",5.40,0.1
SBI Life Insura,"1,471.40","1,453.90","1,462.15","1,460.90",1.25,0.09
Affle India,"1,524.10","1,491.00","1,503.20","1,502.00",1.20,0.08
Asian Paints,"2,235.00","2,215.00","2,225.00","2,223.15",1.85,0.08
Adani Wilmar,264.30,262.50,264.00,263.80,0.20,0.08
Dalmia Bharat,"1,871.05","1,848.15","1,857.75","1,856.45",1.30,0.07
Sun Pharma,"1,744.05","1,730.00","1,736.35","1,735.35",1.00,0.06
Adani Power,524.50,517.65,523.00,522.75,0.25,0.05
Guj Amb Exports,119.72,117.70,119.25,119.19,0.06,0.05
Metropolis,"1,799.25","1,778.55","1,791.90","1,791.45",0.45,0.03
Pidilite Ind,"2,899.50","2,842.00","2,892.00","2,891.05",0.95,0.03
Oracle Fin Serv,"9,564.10","9,401.05","9,539.45","9,536.50",2.95,0.03
City Union Bank,175.00,171.85,173.00,172.97,0.03,0.02
Patanjali Foods,"1,863.00","1,841.10","1,852.10","1,851.80",0.30,0.02
PVR INOX,"1,090.95","1,077.05","1,084.00","1,083.90",0.10,0.01
Syngene Intl,761.45,752.60,759.45,759.35,0.10,0.01
Thermax,"3,767.65","3,705.10","3,761.25","3,760.95",0.30,0.01
